cz_id,pgm_dtm,pgm_start,pgm_stop,title,herh_van,cz_id_herh
512527,20190704,00,01,"Space Exposure",20190630_20,512525
512535,20190704,01,02,X-Ray,20190630_23,512533
515387,20190704,02,07,"De Nacht: Hedendaags",-,-
511938,20190704,07,10,Ochtendeditie,20190627_07,511936
511896,20190704,10,11,"De wandeling",20190625_19,511894
512487,20190704,11,12,"Het pianoatelier",20190403_14,497050
511822,20190704,12,13,Documento,20190623_16,511820
512379,20190704,13,14,"Geen dag zonder Bach",20190627_13,512377
513310,20190704,14,16,"Concertzender Live",-,-
514654,20190704,16,17,"Componist van de maand",-,-
512447,20190704,17,18,Chanson,20190629_13,512445
512459,20190704,18,19,"Groove & Grease",20190629_16,512457
513314,20190704,19,20,"Klassieke Zaken",-,-
513318,20190704,20,21,"De Vorige Eeuw",-,-
513322,20190704,21,22,Sonoor,-,-
513326,20190704,22,23,Popart,-,-
513330,20190704,23,00,Kairos,-,-
512467,20190705,00,01,"Jazz Piano",20190629_19,512465
512559,20190705,01,02,"De Modernen",20190701_22,512557
513328,20190705,02,03,Popart,20190704_22,513326
512483,20190705,03,04,"Off the Beaten Track(s)",20190629_23,512481
512571,20190705,04,05,"Opera in de 20ste eeuw",20190702_17,512569
512495,20190705,05,06,"Radio Monalisa",20190630_12,512493
512575,20190705,06,07,"Missa etcetera",20190702_18,512573
513334,20190705,07,10,Ochtendeditie,-,-
512591,20190705,10,12,"Concertzender Actueel",20190703_14,512589
512399,20190705,12,13,Sonoor,20190627_21,512397
512409,20190705,13,14,"Geen dag zonder Bach",20190628_13,512407
513338,20190705,14,16,"Concertzender Live",-,-
514658,20190705,16,17,"Componist van de maand",-,-
512515,20190705,17,18,Bijdetijds,20190630_17,512513
512471,20190705,18,19,"Latin Jazz",20190629_18,512469
513342,20190705,19,20,"Oriënt Express",-,-
513346,20190705,20,21,"El Mundo",-,-
513350,20190705,21,22,"Exitos Musicales",-,-
513354,20190705,22,23,"Anadolu Havasi",-,-
513358,20190705,23,00,"Wereldmuziek Club",-,-
512425,20190706,00,01,Disc-Cover!,20190614_20,509744
515373,20190706,01,07,"De Nacht: Wereld",20190629_01,515371
513364,20190706,07,10,Ochtendeditie,-,-
513368,20190706,10,11,"Zwerven door de Barok",-,-
512587,20190706,11,12,"Tussen droom en daad",20190702_21,512585
513372,20190706,12,13,"The Sound of Movies",-,-
517340,20190706,13,14,Chanson,-,-
513380,20190706,14,15,"Concertzender Live",-,-
513384,20190706,15,16,"Duke Ellington",-,-
513388,20190706,16,17,"Classic Jazz",-,-
513392,20190706,17,18,"Holiday for Hipsters",-,-
513396,20190706,18,19,"Spinning the Blues",-,-
513400,20190706,19,20,"Holland Jazz",-,-
513404,20190706,20,21,"Het Paleis van de Weemoed",-,-
512563,20190706,21,22,"Front Runnin’",20190701_23,512561
513408,20190706,22,23,JazzNotJazz,-,-
513412,20190706,23,00,"The Art of the Improvisers",-,-
513394,20190707,00,01,"Holiday for Hipsters",20190706_17,513392
512555,20190707,01,03,"Concertzender Live",20190701_20,512553
512499,20190707,03,04,"Paul Korenhofs Opera Actueel",20190630_13,512497
515377,20190707,04,07,"De Nacht: Klassiek",20190630_04,515375
513420,20190707,07,10,Ochtendeditie,-,-
513424,20190707,10,11,Madge-point,-,-
513428,20190707,11,12,"Sound the Trumpet, Strike the Viol!",-,-
513432,20190707,12,13,"Een Os op het Dak",-,-
513436,20190707,13,14,"Paul Korenhofs Opera Actueel",-,-
513440,20190707,14,15,"Het Strijkkwartet",-,-
513444,20190707,15,16,"De Tuin van Oud",-,-
513448,20190707,16,17,Documento,-,-
513452,20190707,17,18,Bijdetijds,-,-
513456,20190707,18,19,"Vrije Radicalen",-,-
513460,20190707,19,20,Sensenta,-,-
513464,20190707,20,21,"Space Exposure",-,-
513468,20190707,21,23,X-Rated,-,-
513473,20190707,23,00,X-Ray,-,-
513477,20190708,00,01,"Dr. Klangendum",-,-
513332,20190708,01,02,Kairos,20190704_23,513330
512609,20190708,02,03,"Electronic Frequencies",20190703_22,512607
512531,20190708,03,05,X-Rated,20190630_21,512529
512539,20190708,05,06,"Framework 1",20190701_05,512537
512543,20190708,06,07,"Framework 2",20190701_06,512541
513479,20190708,07,10,Ochtendeditie,-,-
512391,20190708,10,11,"Onbekend is Onbemind?",20190627_19,512389
512583,20190708,11,12,"Geniale Muziekvrienden",20190702_20,512581
512395,20190708,12,13,"De Vorige Eeuw",20190627_20,512393
513483,20190708,13,14,"Geen Dag zonder Bach",-,-
513312,20190708,14,16,"Concertzender Live",20190704_14,513310
514662,20190708,16,17,"Componist van de maand",-,-
512601,20190708,17,18,"De Muzikant",20190703_20,512599
512605,20190708,18,19,"Door de Mazen van het Net",20190703_21,512603
513487,20190708,19,20,"Nuove Musiche",-,-
513491,20190708,20,22,"Concertzender Live",-,-
513495,20190708,22,23,"American Highways",-,-
513499,20190708,23,00,"Front Runnin’",-,-
513410,20190709,00,01,JazzNotJazz,20190706_22,513408
515381,20190709,01,07,"De Nacht: Klassiek",20190702_01,515379
513507,20190709,07,10,Ochtendeditie,-,-
512475,20190709,10,11,"Het Paleis van de Weemoed",20190629_20,512473
512551,20190709,11,12,"Nuove Musiche",20190701_19,512549
512439,20190709,12,13,"Zwerven door de Renaissance",20190629_10,512437
513511,20190709,13,14,"Geen Dag zonder Bach",-,-
513340,20190709,14,16,"Concertzender Live",20190705_14,513338
514666,20190709,16,17,"Componist van de maand",-,-
513515,20190709,17,18,"Opera in de 20ste eeuw",-,-
513519,20190709,18,19,"Missa etcetera",-,-
513523,20190709,19,20,"De wandeling",-,-
513527,20190709,20,21,"Radio Romantica",-,-
513533,20190709,21,22,"Tussen droom en daad",-,-
512523,20190709,22,23,Sensenta,20190630_19,512521
512421,20190709,23,00,"Oriënt Express",20190628_19,512419
513356,20190710,00,01,"Anadolu Havasi",20190705_22,513354
513382,20190710,01,02,"Concertzender Live",20190706_14,513380
512429,20190710,02,03,"De Klankbron",20190628_21,512427
515385,20190710,03,07,"De Nacht: Klassiek",20190703_03,515383
513541,20190710,07,10,Ochtendeditie,-,-
512507,20190710,10,11,"Early Delights",20190630_15,512505
513442,20190710,11,12,"Het Strijkkwartet",20190707_14,513440
513430,20190710,12,13,"Sound the Trumpet, Strike the Viol!",20190707_11,513428
513545,20190710,13,14,"Geen Dag zonder Bach",-,-
513549,20190710,14,16,"Concertzender Actueel",-,-
514670,20190710,16,17,"Componist van de maand",-,-
513374,20190710,17,18,"The Sound of Movies",20190706_12,513372
513386,20190710,18,19,"Duke Ellington",20190706_15,513384
513553,20190710,19,20,"Kroniek van de Nederlandse Muziek",-,-
513555,20190710,20,22,"Concertzender Live",-,-
513560,20190710,22,23,"Electronic Frequencies",-,-
513458,20190710,23,00,"Vrije Radicalen",20190707_18,513456
513466,20190711,00,01,"Space Exposure",20190707_20,513464
513475,20190711,01,02,X-Ray,20190707_23,513473
515389,20190711,02,07,"De Nacht: Hedendaags",20190704_02,515387
513568,20190711,07,10,Ochtendeditie,-,-
512579,20190711,10,11,"De wandeling",20190702_19,512577
513426,20190711,11,12,Madge-point,20190707_10,513424
512511,20190711,12,13,"Serie Jordi Savall",20190630_16,512509
515017,20190711,13,14,"Geen Dag zonder Bach",-,-
515021,20190711,14,16,"Concertzender Live",-,-
514656,20190711,16,17,"Componist van de maand",20190704_16,514654
517342,20190711,17,18,Chanson,20190706_13,517340
513390,20190711,18,19,"Classic Jazz",20190706_16,513388
515025,20190711,19,20,"Onbekend is Onbemind?",-,-
515029,20190711,20,21,"De Vorige Eeuw",-,-
515033,20190711,21,22,Sonoor,-,-
515037,20190711,22,23,Popart,-,-
515041,20190711,23,00,Pakrammel,20190627_23,512405
